AR 100 100
A 2 44 0
A 2 45 17
A 2 46 7
A 2 47 13
A 2 48 8
A 2 49 1
A 2 50 2
A 2 51 15
A 2 52 5
A 2 53 15
A 2 54 5
A 2 55 25
A 2 56 24
A 2 57 7
A 2 58 22
A 2 59 14
A 2 60 14
A 2 61 4
A 2 62 8
A 2 63 20
A 2 64 2
A 2 65 22
A 2 66 10
A 2 67 9
A 2 68 24
A 2 69 11
A 2 70 20
A 2 71 9
A 2 72 9
A 2 73 15
A 2 74 4
A 2 75 9
A 2 76 11
A 2 77 16
A 2 78 9
A 2 79 12
A 2 80 8
A 2 81 14
A 2 82 12
A 2 83 5
A 2 84 1
A 2 85 6
A 2 86 23
A 2 87 1
A 2 88 10
A 2 89 2
A 2 90 2
A 2 91 25
A 2 92 7
A 2 93 2
A 2 94 6
A 2 95 22
A 2 96 22
A 2 97 23
A 2 98 2
A 2 99 15
A 3 0 21
A 3 1 22
A 3 2 6
A 3 3 2
A 3 4 6
A 3 5 18
A 3 6 15
A 3 7 17
A 3 8 4
A 3 9 16
A 3 10 2
A 3 11 12
A 3 12 3
A 3 13 2
A 3 14 22
A 3 15 22
A 3 16 13
A 3 17 11
A 3 18 23
A 3 19 6
A 3 20 24
A 3 21 1
A 3 22 7
A 3 23 24
A 3 24 24
A 3 25 8
A 3 26 2
A 3 27 3
A 3 28 17
A 3 29 24
A 3 30 12
A 3 31 12
A 3 32 25
A 3 33 16
A 3 34 8
A 3 35 5
A 3 36 18
A 3 37 22
A 3 38 14
A 3 39 17
A 3 40 16
A 3 41 16
A 3 42 23
A 3 43 24
A 3 44 16
A 3 45 23
A 3 46 1
A 3 47 24
A 3 48 4
A 3 49 15
A 3 50 2
A 3 51 17
A 3 52 3
A 3 53 3
A 3 54 21
A 3 55 22
A 3 56 4
A 3 57 15
A 3 58 23
A 3 59 24
A 3 60 17
A 3 61 24
A 3 62 21
A 3 63 0
A 3 64 20
A 3 65 2
A 3 66 0
A 3 67 1
A 3 68 6
A 3 69 7
A 3 70 2
A 3 71 21
A 3 72 1
A 3 73 5
A 3 74 3
A 3 75 11
A 3 76 16
A 3 77 0
A 3 78 5
A 3 79 8
A 3 80 13
A 3 81 21
A 3 82 7
A 3 83 0
A 3 84 0
A 3 85 13
A 3 86 16
A 3 87 6
A 3 88 7
A 3 89 5
A 3 90 7
A 3 91 10
A 3 92 4
A 3 93 2
A 3 94 4
A 3 95 3
A 3 96 1
A 3 97 19
A 3 98 10
A 3 99 21
A 4 0 1
A 4 1 21
A 4 2 23
A 4 3 20
A 4 4 23
A 4 5 2
A 4 6 10
A 4 7 22
A 4 8 24
A 4 9 24
A 4 10 9
A 4 11 17
A 4 12 23
A 4 13 8
A 4 14 21
A 4 15 18
A 4 16 19
A 4 17 10
A 4 18 18
A 4 19 5
A 4 20 3
A 4 21 21
A 4 22 9
A 4 23 21
A 4 24 25
A 4 25 18
A 4 26 8
A 4 27 14
A 4 28 13
A 4 29 10
A 4 30 15
A 4 31 10
A 4 32 14
A 4 33 1
A 4 34 13
A 4 35 25
A 4 36 6
A 4 37 22
A 4 38 14
A 4 39 9
A 4 40 8
A 4 41 22
A 4 42 10
A 4 43 7
A 4 44 14
A 4 45 8
A 4 46 10
A 4 47 16
A 4 48 3
A 4 49 19
A 4 50 2
A 4 51 0
A 4 52 24
A 4 53 23
A 4 54 17
A 4 55 5
A 4 56 12
A 4 57 10
A 4 58 11
A 4 59 22
A 4 60 12
A 4 61 6
A 4 62 17
A 4 63 22
A 4 64 12
A 4 65 15
A 4 66 5
A 4 67 3
A 4 68 8
A 4 69 1
A 4 70 6
A 4 71 1
A 4 72 17
A 4 73 9
A 4 74 13
A 4 75 10
A 4 76 5
A 4 77 3
A 4 78 3
A 4 79 10
A 4 80 12
A 4 81 0
A 4 82 7
A 4 83 20
A 4 84 17
A 4 85 15
A 4 86 11
A 4 87 20
A 4 88 12
A 4 89 11
A 4 90 9
A 4 91 11
A 4 92 8
A 4 93 6
A 4 94 24
A 4 95 0
A 4 96 13
A 4 97 0
A 4 98 24
A 4 99 14
A 5 0 18
A 5 1 13
A 5 2 14
A 5 3 8
A 5 4 5
A 5 5 19
A 5 6 7
A 5 7 20
A 5 8 23
A 5 9 12
A 5 10 18
A 5 11 13
A 5 12 9
A 5 13 18
A 5 14 5
A 5 15 23
A 5 16 17
A 5 17 10
A 5 18 7
A 5 19 23
A 5 20 24
A 5 21 3
A 5 22 18
A 5 23 24
A 5 24 13
A 5 25 6
A 5 26 12
A 5 27 14
A 5 28 6
A 5 29 23
A 5 30 6
A 5 31 24
A 5 32 11
A 5 33 10
A 5 34 12
A 5 35 1
A 5 36 7
A 5 37 9
A 5 38 12
A 5 39 6
A 5 40 11
A 5 41 1
A 5 42 9
A 5 43 12
A 5 44 18
A 5 45 20
A 5 46 19
A 5 47 16
A 5 48 5
A 5 49 1
A 5 50 24
A 5 51 25
A 5 52 15
A 5 53 5
A 5 54 24
A 5 55 16
A 5 56 24
A 5 57 16
A 5 58 6
A 5 59 20
A 5 60 0
A 5 61 7
A 5 62 5
A 5 63 17
A 5 64 21
A 5 65 7
A 5 66 7
A 5 67 13
A 5 68 2
A 5 69 8
A 5 70 1
A 5 71 12
A 5 72 8
A 5 73 17
A 5 74 12
A 5 75 3
A 5 76 10
A 5 77 0
A 5 78 1
A 5 79 10
A 5 80 5
A 5 81 15
A 5 82 10
A 5 83 24
A 5 84 25
A 5 85 9
A 5 86 10
A 5 87 10
A 5 88 5
A 5 89 19
A 5 90 22
A 5 91 23
A 5 92 4
A 5 93 9
A 5 94 12
A 5 95 0
A 5 96 17
A 5 97 8
A 5 98 12
A 5 99 16
A 6 0 3
A 6 1 15
A 6 2 19
A 6 3 2
A 6 4 11
A 6 5 18
A 6 6 16
A 6 7 25
A 6 8 15
A 6 9 3
A 6 10 16
A 6 11 15
A 6 12 21
A 6 13 20
A 6 14 22
A 6 15 0
A 6 16 10
A 6 17 18
A 6 18 2
A 6 19 20
A 6 20 4
A 6 21 7
A 6 22 4
A 6 23 20
A 6 24 21
A 6 25 3
A 6 26 3
A 6 27 2
A 6 28 25
A 6 29 3
A 6 30 5
A 6 31 7
A 6 32 5
A 6 33 5
A 6 34 11
A 6 35 25
A 6 36 12
A 6 37 25
A 6 38 13
A 6 39 21
A 6 40 0
A 6 41 0
A 6 42 23
A 6 43 21
A 6 44 25
A 6 45 22
A 6 46 16
A 6 47 10
A 6 48 20
A 6 49 14
A 6 50 25
A 6 51 19
A 6 52 20
A 6 53 10
A 6 54 24
A 6 55 16
A 6 56 7
A 6 57 17
A 6 58 2
A 6 59 14
A 6 60 1
A 6 61 22
A 6 62 17
A 6 63 0
A 6 64 22
A 6 65 20
A 6 66 9
A 6 67 7
A 6 68 8
A 6 69 18
A 6 70 10
A 6 71 5
A 6 72 22
A 6 73 9
A 6 74 23
A 6 75 7
A 6 76 0
A 6 77 19
A 6 78 15
A 6 79 24
A 6 80 13
A 6 81 13
A 6 82 12
A 6 83 3
A 6 84 13
A 6 85 8
A 6 86 10
A 6 87 7
A 6 88 14
A 6 89 16
A 6 90 18
A 6 91 11
A 6 92 11
A 6 93 2
A 6 94 14
A 6 95 25
A 6 96 9
A 6 97 10
A 6 98 3
A 6 99 1
A 7 0 18
A 7 1 13
A 7 2 14
A 7 3 4
A 7 4 3
A 7 5 8
A 7 6 7
A 7 7 9
A 7 8 14
A 7 9 12
A 7 10 10
A 7 11 0
A 7 12 6
A 7 13 25
A 7 14 25
A 7 15 9
A 7 16 4
A 7 17 9
A 7 18 8
A 7 19 5
A 7 20 19
A 7 21 17
A 7 22 2
A 7 23 1
A 7 24 2
A 7 25 14
A 7 26 12
A 7 27 22
A 7 28 1
A 7 29 12
A 7 30 11
A 7 31 16
A 7 32 12
A 7 33 23
A 7 34 1
A 7 35 18
A 7 36 14
A 7 37 17
A 7 38 17
A 7 39 10
A 7 40 4
A 7 41 15
A 7 42 25
A 7 43 2
A 7 44 17
A 7 45 23
A 7 46 24
A 7 47 21
A 7 48 16
A 7 49 2
A 7 50 14
A 7 51 15
A 7 52 9
A 7 53 6
A 7 54 5
A 7 55 4
A 7 56 1
A 7 57 11
A 7 58 8
A 7 59 16
A 7 60 6
A 7 61 22
A 7 62 19
A 7 63 12
A 7 64 6
A 7 65 5
A 7 66 11
A 7 67 13
A 7 68 6
A 7 69 1
A 7 70 2
A 7 71 25
A 7 72 25
A 7 73 7
A 7 74 15
A 7 75 18
A 7 76 13
A 7 77 21
A 7 78 0
A 7 79 3
A 7 80 21
A 7 81 20
A 7 82 5
A 7 83 7
A 7 84 14
A 7 85 9
A 7 86 18
A 7 87 16
A 7 88 11
A 7 89 15
A 7 90 6
A 7 91 14
A 7 92 17
A 7 93 25
A 7 94 0
A 7 95 20
A 7 96 5
A 7 97 2
A 7 98 6
A 7 99 12
A 8 0 9
A 8 1 23
A 8 2 12
A 8 3 14
A 8 4 16
A 8 5 7
A 8 6 5
A 8 7 7
A 8 8 4
A 8 9 6
A 8 10 9
A 8 11 2
A 8 12 2
A 8 13 12
A 8 14 16
A 8 15 8
A 8 16 4
A 8 17 16
A 8 18 13
A 8 19 25
A 8 20 13
A 8 21 12
A 8 22 7
A 8 23 5
A 8 24 25
A 8 25 18
A 8 26 25
A 8 27 3
A 8 28 21
A 8 29 5
A 8 30 21
A 8 31 1
A 8 32 19
A 8 33 0
A 8 34 25
A 8 35 23
A 8 36 2
A 8 37 16
A 8 38 22
A 8 39 4
A 8 40 10
A 8 41 24
A 8 42 25
A 8 43 6
A 8 44 25
A 8 45 2
A 8 46 20
A 8 47 16
A 8 48 11
A 8 49 23
A 8 50 22
A 8 51 24
A 8 52 23
A 8 53 7
A 8 54 14
A 8 55 2
A 8 56 10
A 8 57 2
A 8 58 15
A 8 59 9
A 8 60 1
A 8 61 25
A 8 62 25
A 8 63 3
A 8 64 25
A 8 65 14
A 8 66 14
A 8 67 20
A 8 68 24
A 8 69 16
A 8 70 22
A 8 71 11
A 8 72 24
A 8 73 21
A 8 74 6
A 8 75 12
A 8 76 3
A 8 77 14
A 8 78 18
A 8 79 11
A 8 80 11
A 8 81 17
A 8 82 4
A 8 83 16
A 8 84 7
A 8 85 13
A 8 86 25
A 8 87 10
A 8 88 7
A 8 89 23
A 8 90 14
A 8 91 8
A 8 92 25
A 8 93 6
A 8 94 10
A 8 95 19
A 8 96 6
A 8 97 16
A 8 98 12
A 8 99 24
A 9 0 25
A 9 1 15
A 9 2 20
A 9 3 15
A 9 4 25
A 9 5 0
A 9 6 1
A 9 7 9
A 9 8 3
A 9 9 6
A 9 10 14
A 9 11 6
A 9 12 1
A 9 13 11
A 9 14 18
A 9 15 8
A 9 16 16
A 9 17 12
A 9 18 21
A 9 19 13
A 9 20 8
A 9 21 8
A 9 22 25
A 9 23 3
A 9 24 24
A 9 25 20
A 9 26 8
A 9 27 25
A 9 28 16
A 9 29 3
A 9 30 5
A 9 31 2
A 9 32 14
A 9 33 20
A 9 34 20
A 9 35 4
A 9 36 0
A 9 37 19
A 9 38 13
A 9 39 3
A 9 40 15
A 9 41 2
A 9 42 20
A 9 43 4
A 9 44 19
A 9 45 10
A 9 46 24
A 9 47 20
A 9 48 16
A 9 49 19
A 9 50 6
A 9 51 18
A 9 52 5
A 9 53 17
A 9 54 5
A 9 55 24
A 9 56 23
A 9 57 13
A 9 58 5
A 9 59 17
A 9 60 6
A 9 61 5
A 9 62 10
A 9 63 11
A 9 64 7
A 9 65 12
A 9 66 12
A 9 67 22
A 9 68 18
A 9 69 10
A 9 70 15
A 9 71 20
A 9 72 3
A 9 73 6
A 9 74 5
A 9 75 13
A 9 76 9
A 9 77 5
A 9 78 7
A 9 79 6
A 9 80 17
A 9 81 12
A 9 82 0
A 9 83 10
A 9 84 7
A 9 85 0
A 9 86 24
A 9 87 14
A 9 88 7
A 9 89 2
A 9 90 19
A 9 91 4
A 9 92 21
A 9 93 18
A 9 94 24
A 9 95 8
A 9 96 15
A 9 97 0
A 9 98 23
A 9 99 19
A 10 0 12
A 10 1 19
A 10 2 22
A 10 3 23
A 10 4 18
A 10 5 12
A 10 6 7
A 10 7 22
A 10 8 24
A 10 9 17
A 10 10 0
A 10 11 7
A 10 12 3
A 10 13 11
A 10 14 8
A 10 15 20
A 10 16 25
A 10 17 17
A 10 18 5
A 10 19 14
A 10 20 13
A 10 21 18
A 10 22 14
A 10 23 20
A 10 24 9
A 10 25 10
A 10 26 17
A 10 27 15
A 10 28 22
A 10 29 7
A 10 30 0
A 10 31 0
A 10 32 3
A 10 33 9
A 10 34 17
A 10 35 6
A 10 36 19
A 10 37 14
A 10 38 16
A 10 39 7
A 10 40 9
A 10 41 2
A 10 42 11
A 10 43 19
A 10 44 10
A 10 45 13
A 10 46 13
A 10 47 13
A 10 48 0
A 10 49 21
A 10 50 3
A 10 51 1
A 10 52 25
A 10 53 5
A 10 54 20
A 10 55 2
A 10 56 24
A 10 57 2
A 10 58 14
A 10 59 8
A 10 60 9
A 10 61 18
A 10 62 7
A 10 63 3
A 10 64 16
A 10 65 24
A 10 66 13
A 10 67 24
A 10 68 22
A 10 69 8
A 10 70 6
A 10 71 18
A 10 72 17
A 10 73 11
A 10 74 10
A 10 75 11
A 10 76 14
A 10 77 10
A 10 78 14
A 10 79 9
A 10 80 6
A 10 81 16
A 10 82 4
A 10 83 15
A 10 84 15
A 10 85 12
A 10 86 3
A 10 87 7
A 10 88 2
A 10 89 6
A 10 90 8
A 10 91 13
A 10 92 12
A 10 93 7
A 10 94 20
A 10 95 12
A 10 96 8
A 10 97 22
A 10 98 10
A 10 99 5
A 11 0 11
A 11 1 16
A 11 2 22
A 11 3 0
A 11 4 14
A 11 5 2
A 11 6 22
A 11 7 23
A 11 8 12
A 11 9 2
A 11 10 17
A 11 11 2
A 11 12 7
A 11 13 3
A 11 14 2
A 11 15 18
A 11 16 21
A 11 17 8
A 11 18 5
A 11 19 4
A 11 20 15
A 11 21 11
A 11 22 0
A 11 23 22
A 11 24 5
A 11 25 20
A 11 26 6
A 11 27 1
A 11 28 19
A 11 29 8
A 11 30 21
A 11 31 2
A 11 32 5
A 11 33 12
A 11 34 2
A 11 35 12
A 11 36 19
A 11 37 19
A 11 38 18
A 11 39 8
A 11 40 19
A 11 41 7
A 11 42 12
A 11 43 9
A 11 44 2
A 11 45 0
A 11 46 17
A 11 47 23
A 11 48 3
A 11 49 6
A 11 50 24
A 11 51 15
A 11 52 3
A 11 53 13
A 11 54 16
A 11 55 21
A 11 56 18
A 11 57 8
A 11 58 21
A 11 59 9
A 11 60 8
A 11 61 5
A 11 62 20
A 11 63 19
A 11 64 11
A 11 65 23
A 11 66 25
A 11 67 19
A 11 68 7
A 11 69 15
A 11 70 8
A 11 71 11
A 11 72 1
A 11 73 10
A 11 74 9
A 11 75 12
A 11 76 7
A 11 77 15
A 11 78 25
A 11 79 19
A 11 80 25
A 11 81 20
A 11 82 4
A 11 83 19
A 11 84 11
A 11 85 3
A 11 86 23
A 11 87 5
A 11 88 15
A 11 89 8
A 11 90 4
A 11 91 0
A 11 92 4
A 11 93 16
A 11 94 16
A 11 95 2
A 11 96 21
A 11 97 6
A 11 98 25
A 11 99 6
A 12 0 7
A 12 1 6
A 12 2 20
A 12 3 15
A 12 4 11
A 12 5 4
A 12 6 16
A 12 7 9
A 12 8 3
A 12 9 3
A 12 10 5
A 12 11 11
A 12 12 20
A 12 13 22
A 12 14 7
A 12 15 10
A 12 16 16
A 12 17 6
A 12 18 6
A 12 19 11
A 12 20 23
A 12 21 24
A 12 22 2
A 12 23 22
A 12 24 15
A 12 25 4
A 12 26 14
A 12 27 0
A 12 28 7
A 12 29 17
A 12 30 4
A 12 31 20
A 12 32 3
A 12 33 25
A 12 34 17
A 12 35 5
A 12 36 14
A 12 37 6
A 12 38 8
A 12 39 2
A 12 40 25
A 12 41 7
A 12 42 1
A 12 43 7
A 12 44 23
A 12 45 25
A 12 46 1
A 12 47 22
A 12 48 16
A 12 49 22
A 12 50 18
A 12 51 19
A 12 52 2
A 12 53 24
A 12 54 3
A 12 55 18
A 12 56 6
A 12 57 8
A 12 58 13
A 12 59 15
A 12 60 22
A 12 61 13
A 12 62 22
A 12 63 5
A 12 64 7
A 12 65 7
A 12 66 13
A 12 67 1
A 12 68 20
A 12 69 24
A 12 70 19
A 12 71 25
A 12 72 0
A 12 73 25
A 12 74 8
A 12 75 20
A 12 76 24
A 12 77 14
A 12 78 6
A 12 79 17
A 12 80 24
A 12 81 25
A 12 82 13
A 12 83 0
A 12 84 12
A 12 85 0
A 12 86 4
A 12 87 22
A 12 88 14
A 12 89 16
A 12 90 17
A 12 91 22
A 12 92 13
A 12 93 21
A 12 94 19
A 12 95 24
A 12 96 20
A 12 97 23
A 12 98 7
A 12 99 1
A 13 0 6
A 13 1 2
A 13 2 6
A 13 3 3
A 13 4 23
A 13 5 8
A 13 6 22
A 13 7 0
A 13 8 14
A 13 9 18
A 13 10 2
A 13 11 6
A 13 12 13
A 13 13 12
A 13 14 1
A 13 15 21
A 13 16 20
A 13 17 21
A 13 18 12
A 13 19 18
A 13 20 12
A 13 21 15
A 13 22 21
A 13 23 5
A 13 24 5
A 13 25 12
A 13 26 5
A 13 27 8
A 13 28 10
A 13 29 11
A 13 30 15
A 13 31 22
A 13 32 14
A 13 33 0
A 13 34 22
A 13 35 24
A 13 36 16
A 13 37 24
A 13 38 19
A 13 39 12
A 13 40 22
A 13 41 10
A 13 42 24
A 13 43 14
A 13 44 24
A 13 45 21
A 13 46 17
A 13 47 15
A 13 48 11
A 13 49 7
A 13 50 10
A 13 51 20
A 13 52 8
A 13 53 19
A 13 54 7
A 13 55 20
A 13 56 0
A 13 57 12
A 13 58 9
A 13 59 19
A 13 60 14
A 13 61 25
A 13 62 18
A 13 63 25
A 13 64 0
A 13 65 24
A 13 66 21
A 13 67 3
A 13 68 1
A 13 69 6
A 13 70 5
A 13 71 3
A 13 72 15
A 13 73 10
A 13 74 13
A 13 75 23
A 13 76 13
A 13 77 18
A 13 78 22
A 13 79 1
A 13 80 25
A 13 81 13
A 13 82 7
A 13 83 5
A 13 84 22
A 13 85 14
A 13 86 12
A 13 87 2
A 13 88 23
A 13 89 22
A 13 90 23
A 13 91 16
A 13 92 6
A 13 93 3
A 13 94 3
A 13 95 21
A 13 96 20
A 13 97 24
A 13 98 23
A 13 99 22
A 14 0 12
A 14 1 20
A 14 2 3
A 14 3 18
A 14 4 9
A 14 5 20
A 14 6 22
A 14 7 1
A 14 8 8
A 14 9 0
A 14 10 6
A 14 11 0
A 14 12 24
A 14 13 7
A 14 14 6
A 14 15 3
A 14 16 19
A 14 17 11
A 14 18 20
A 14 19 25
A 14 20 9
A 14 21 1
A 14 22 20
A 14 23 3
A 14 24 25
A 14 25 19
A 14 26 12
A 14 27 20
A 14 28 2
A 14 29 21
A 14 30 9
A 14 31 8
A 14 32 23
A 14 33 1
A 14 34 19
A 14 35 4
A 14 36 21
A 14 37 1
A 14 38 20
A 14 39 0
A 14 40 5
A 14 41 8
A 14 42 0
A 14 43 10
A 14 44 11
A 14 45 7
A 14 46 0
A 14 47 16
A 14 48 19
A 14 49 0
A 14 50 20
A 14 51 6
A 14 52 6
A 14 53 12
A 14 54 24
A 14 55 18
A 14 56 15
A 14 57 11
A 14 58 1
A 14 59 14
A 14 60 20
A 14 61 4
A 14 62 7
A 14 63 3
A 14 64 1
A 14 65 1
A 14 66 25
A 14 67 11
A 14 68 1
A 14 69 4
A 14 70 6
A 14 71 7
A 14 72 22
A 14 73 23
A 14 74 7
A 14 75 0
A 14 76 20
A 14 77 13
A 14 78 10
A 14 79 15
A 14 80 18
A 14 81 9
A 14 82 9
A 14 83 23
A 14 84 11
A 14 85 23
A 14 86 15
A 14 87 24
A 14 88 3
A 14 89 22
A 14 90 5
A 14 91 19
A 14 92 9
A 14 93 0
A 14 94 24
A 14 95 8
A 14 96 6
A 14 97 24
A 14 98 3
A 14 99 23
A 15 0 22
A 15 1 2
A 15 2 18
A 15 3 22
A 15 4 16
A 15 5 7
A 15 6 10
A 15 7 21
A 15 8 0
A 15 9 20
A 15 10 18
A 15 11 1
A 15 12 1
A 15 13 2
A 15 14 11
A 15 15 11
A 15 16 16
A 15 17 13
A 15 18 5
A 15 19 3
A 15 20 24
A 15 21 12
A 15 22 12
A 15 23 24
A 15 24 21
A 15 25 23
A 15 26 21
A 15 27 24
A 15 28 14
A 15 29 5
A 15 30 8
A 15 31 25
A 15 32 21
A 15 33 11
A 15 34 20
A 15 35 16
A 15 36 25
A 15 37 6
A 15 38 5
A 15 39 9
A 15 40 5
A 15 41 9
A 15 42 25
A 15 43 3
A 15 44 23
A 15 45 10
A 15 46 10
A 15 47 22
A 15 48 19
A 15 49 2
A 15 50 20
A 15 51 5
A 15 52 4
A 15 53 4
A 15 54 6
A 15 55 22
A 15 56 3
A 15 57 25
A 15 58 8
A 15 59 24
A 15 60 4
A 15 61 1
A 15 62 9
A 15 63 8
A 15 64 14
A 15 65 9
A 15 66 20
A 15 67 7
A 15 68 15
A 15 69 13
A 15 70 4
A 15 71 15
A 15 72 6
A 15 73 16
A 15 74 17
A 15 75 14
A 15 76 0
A 15 77 6
A 15 78 25
A 15 79 23
A 15 80 23
A 15 81 22
A 15 82 21
A 15 83 8
A 15 84 8
A 15 85 0
A 15 86 22
A 15 87 7
A 15 88 6
A 15 89 18
A 15 90 0
A 15 91 25
A 15 92 11
A 15 93 25
A 15 94 5
A 15 95 8
A 15 96 24
A 15 97 19
A 15 98 14
A 15 99 3
A 16 0 14
A 16 1 19
A 16 2 10
A 16 3 21
A 16 4 19
A 16 5 24
A 16 6 3
A 16 7 20
A 16 8 10
A 16 9 17
A 16 10 13
A 16 11 1
A 16 12 12
A 16 13 24
A 16 14 15
A 16 15 25
A 16 16 12
A 16 17 21
A 16 18 6
A 16 19 24
A 16 20 24
A 16 21 8
A 16 22 0
A 16 23 20
A 16 24 7
A 16 25 11
A 16 26 10
A 16 27 23
A 16 28 25
A 16 29 6
A 16 30 2
A 16 31 12
A 16 32 8
A 16 33 17
A 16 34 12
A 16 35 5
A 16 36 12
A 16 37 2
A 16 38 4
A 16 39 17
A 16 40 12
A 16 41 11
A 16 42 12
A 16 43 10
A 16 44 15
A 16 45 11
A 16 46 0
A 16 47 2
A 16 48 9
A 16 49 7
A 16 50 23
A 16 51 12
A 16 52 20
A 16 53 4
A 16 54 24
A 16 55 23
A 16 56 5
A 16 57 23
A 16 58 8
A 16 59 22
A 16 60 8
A 16 61 23
A 16 62 19
A 16 63 25
A 16 64 13
A 16 65 19
A 16 66 4
A 16 67 5
A 16 68 18
A 16 69 16
A 16 70 4
A 16 71 22
A 16 72 19
A 16 73 9
A 16 74 4
A 16 75 19
A 16 76 21
A 16 77 17
A 16 78 4
A 16 79 12
A 16 80 20
A 16 81 21
A 16 82 7
A 16 83 18
A 16 84 0
A 16 85 17
A 16 86 10
A 16 87 1
A 16 88 6
A 16 89 23
A 16 90 20
A 16 91 9
A 16 92 7
A 16 93 22
A 16 94 24
A 16 95 22
A 16 96 9
A 16 97 24
A 16 98 17
A 16 99 25
A 17 0 1
A 17 1 16
A 17 2 12
A 17 3 24
A 17 4 10
A 17 5 15
A 17 6 18
A 17 7 19
A 17 8 22
A 17 9 13
A 17 10 4
A 17 11 2
A 17 12 4
A 17 13 20
A 17 14 24
A 17 15 21
A 17 16 3
A 17 17 25
A 17 18 13
A 17 19 10
A 17 20 6
A 17 21 9
A 17 22 20
A 17 23 8
A 17 24 2
A 17 25 3
A 17 26 19
A 17 27 16
A 17 28 2
A 17 29 19
A 17 30 1
A 17 31 6
A 17 32 7
A 17 33 0
A 17 34 8
A 17 35 6
A 17 36 19
A 17 37 1
A 17 38 15
A 17 39 0
A 17 40 20
A 17 41 12
A 17 42 25
A 17 43 2
A 17 44 23
A 17 45 4
A 17 46 4
A 17 47 18
